index,panel,dimensions,p,p_form,fraction,method,mean,std,count
141,4,50,0.1,0.2,0.9,DBSCAN,50.0,0.0,100
142,4,50,0.1,0.2,0.9,GMM,61.541564009678616,6.617258702212258,100
143,4,50,0.1,0.2,0.9,K-means,68.40081611701078,6.08798429573374,100
144,5,50,0.05,0.15,0.1,Cross-Entropy,56.996664032035184,5.035185321763499,100
145,5,50,0.05,0.15,0.1,DBSCAN,51.74426669035984,1.7949179652678322,100
146,5,50,0.05,0.15,0.1,GMM,56.061169606721336,4.175249220811074,100
147,5,50,0.05,0.15,0.1,K-means,59.90106336381217,4.8923723245013715,100
148,5,50,0.05,0.15,0.2,Cross-Entropy,57.84348420810722,5.403927574524369,100
149,5,50,0.05,0.15,0.2,DBSCAN,52.059079338481,2.2393943975396806,100
150,5,50,0.05,0.15,0.2,GMM,57.09901855621056,4.902667228762573,100
151,5,50,0.05,0.15,0.2,K-means,61.282775772930165,4.453270777998651,100
152,5,50,0.05,0.15,0.3,Cross-Entropy,62.27641157932873,6.3805685538749275,100
153,5,50,0.05,0.15,0.3,DBSCAN,52.03012613369756,2.468665397184437,100
154,5,50,0.05,0.15,0.3,GMM,57.7029710918604,4.933545204145289,100
155,5,50,0.05,0.15,0.3,K-means,61.4317842101373,5.197370047008482,100
156,5,50,0.05,0.15,0.4,Cross-Entropy,63.92073417103697,7.7801788756771995,100
157,5,50,0.05,0.15,0.4,DBSCAN,52.21876754953391,2.742328015540195,100
158,5,50,0.05,0.15,0.4,GMM,58.68078162756432,6.011761239576446,100
159,5,50,0.05,0.15,0.4,K-means,64.00433485889343,6.120081852567978,100
160,5,50,0.05,0.15,0.5,Cross-Entropy,68.94866126926271,8.371422049753642,100
161,5,50,0.05,0.15,0.5,DBSCAN,52.251579403974375,2.7855817430743386,100
162,5,50,0.05,0.15,0.5,GMM,60.22225658315562,5.9100913130465385,100
163,5,50,0.05,0.15,0.5,K-means,65.7599116706245,5.83486445380663,100
164,5,50,0.05,0.15,0.6,Cross-Entropy,74.76827026153316,7.524524482324632,100
165,5,50,0.05,0.15,0.6,DBSCAN,52.34071445813902,2.932879479791518,100
166,5,50,0.05,0.15,0.6,GMM,59.76245855268382,5.337743045678371,100
167,5,50,0.05,0.15,0.6,K-means,67.82424064512762,6.065877476135758,100
168,5,50,0.05,0.15,0.7,Cross-Entropy,77.78741207175824,8.173773189442933,100
169,5,50,0.05,0.15,0.7,DBSCAN,52.08216390047616,2.876923044873771,100
170,5,50,0.05,0.15,0.7,GMM,60.86887663130859,6.372411587964351,100
171,5,50,0.05,0.15,0.7,K-means,69.10699992986657,6.750673176607037,100
172,5,50,0.05,0.15,0.8,Cross-Entropy,80.88187318930729,6.411251174388029,100
173,5,50,0.05,0.15,0.8,DBSCAN,51.70506115057511,2.775515996125161,100
174,5,50,0.05,0.15,0.8,GMM,61.80515714038252,6.858857053649154,100
175,5,50,0.05,0.15,0.8,K-means,70.7259578260215,6.51491320589022,100
176,5,50,0.05,0.15,0.9,Cross-Entropy,84.438215463741,5.52220160625341,100
177,5,50,0.05,0.15,0.9,DBSCAN,51.510378527935536,2.64291214196225,100
178,5,50,0.05,0.15,0.9,GMM,61.777580228416646,7.052862297993734,100
179,5,50,0.05,0.15,0.9,K-means,73.43637068120871,5.581959254113133,100
180,6,50,0.01,0.11,0.1,Cross-Entropy,63.97948228358071,6.193396356547543,100
181,6,50,0.01,0.11,0.1,DBSCAN,55.83991422147581,3.0147594058028764,100
182,6,50,0.01,0.11,0.1,GMM,57.81160774477631,4.116868453917785,100
183,6,50,0.01,0.11,0.1,K-means,63.3522201898963,4.080472827050307,100
184,6,50,0.01,0.11,0.2,Cross-Entropy,68.92560534574969,6.859565525243191,100
185,6,50,0.01,0.11,0.2,DBSCAN,59.309019862078706,2.545008548376089,100
186,6,50,0.01,0.11,0.2,GMM,58.42336085749141,4.418315775711297,100
187,6,50,0.01,0.11,0.2,K-means,64.72068734727186,4.187612999746359,100
188,6,50,0.01,0.11,0.3,Cross-Entropy,72.61869113881782,5.312358373130149,100
189,6,50,0.01,0.11,0.3,DBSCAN,61.77754059707749,2.068380802336968,100
190,6,50,0.01,0.11,0.3,GMM,58.94706680169508,4.991961752185262,100
191,6,50,0.01,0.11,0.3,K-means,65.25143229518241,4.8794857761869626,100
192,6,50,0.01,0.11,0.4,Cross-Entropy,77.10228199354049,5.866500525629646,100
193,6,50,0.01,0.11,0.4,DBSCAN,63.720579667679594,2.0639469451141412,100
194,6,50,0.01,0.11,0.4,GMM,60.41583937148113,5.318355211156605,100
195,6,50,0.01,0.11,0.4,K-means,68.67884156736696,4.584781441470787,100
196,6,50,0.01,0.11,0.5,Cross-Entropy,85.28736146594741,4.837247909839723,100
197,6,50,0.01,0.11,0.5,DBSCAN,64.64606313656203,2.1957282402116856,100
198,6,50,0.01,0.11,0.5,GMM,60.22058413162906,5.55595371197197,100
199,6,50,0.01,0.11,0.5,K-means,69.07215841589759,5.141588440079191,100
200,6,50,0.01,0.11,0.6,Cross-Entropy,87.60073360691,3.7587887111356166,100
201,6,50,0.01,0.11,0.6,DBSCAN,65.09748317946692,1.84257591525032,100
202,6,50,0.01,0.11,0.6,GMM,60.0730424057282,6.070227221760476,100
203,6,50,0.01,0.11,0.6,K-means,70.67295031174423,5.771309921974704,100
204,6,50,0.01,0.11,0.7,Cross-Entropy,90.0149424969462,3.769900034391984,100
205,6,50,0.01,0.11,0.7,DBSCAN,65.67261711838044,1.7197892256180427,100
206,6,50,0.01,0.11,0.7,GMM,60.73113308973521,6.431630194933947,100
207,6,50,0.01,0.11,0.7,K-means,72.5059838990204,5.4343499121205685,100
208,6,50,0.01,0.11,0.8,Cross-Entropy,91.26847895610858,2.900224399201811,100
209,6,50,0.01,0.11,0.8,DBSCAN,65.16743368656667,1.6328428311285133,100
210,6,50,0.01,0.11,0.8,GMM,60.58296135305782,6.817331682837273,100
211,6,50,0.01,0.11,0.8,K-means,74.19072485502733,5.605237362982168,100
212,6,50,0.01,0.11,0.9,Cross-Entropy,92.82198221499836,2.5793346860898696,100
213,6,50,0.01,0.11,0.9,DBSCAN,65.89420088046681,1.5574613107585311,100
214,6,50,0.01,0.11,0.9,GMM,60.001799633057004,6.5410897417648055,100
215,6,50,0.01,0.11,0.9,K-means,74.5697544795939,4.939073700262298,100
216,7,20,0.5,0.6,0.1,Cross-Entropy,54.63584062382577,3.52305878186675,100
217,7,20,0.5,0.6,0.1,DBSCAN,50.0,0.0,100
218,7,20,0.5,0.6,0.1,GMM,54.54190342837168,3.177748795735066,100
219,7,20,0.5,0.6,0.1,K-means,54.501953283185514,3.3013183745169004,100
220,7,20,0.5,0.6,0.2,Cross-Entropy,54.5747632390641,3.859916592842077,100
221,7,20,0.5,0.6,0.2,DBSCAN,50.0,0.0,100
222,7,20,0.5,0.6,0.2,GMM,54.35794388772908,3.369619581786344,100
223,7,20,0.5,0.6,0.2,K-means,54.56487307340906,3.5794027280947627,100
224,7,20,0.5,0.6,0.3,Cross-Entropy,54.93771494501974,3.1862634375487007,100
225,7,20,0.5,0.6,0.3,DBSCAN,50.0,0.0,100
226,7,20,0.5,0.6,0.3,GMM,54.74242216385866,3.561271689264024,100
227,7,20,0.5,0.6,0.3,K-means,55.29435448244024,3.627400589967058,100
228,7,20,0.5,0.6,0.4,Cross-Entropy,55.66897214802944,4.383206463226114,100
229,7,20,0.5,0.6,0.4,DBSCAN,50.0,0.0,100
230,7,20,0.5,0.6,0.4,GMM,55.20209809217485,4.3037521991270395,100
231,7,20,0.5,0.6,0.4,K-means,55.368056057221445,4.104893758776612,100
232,7,20,0.5,0.6,0.5,Cross-Entropy,55.46678793618253,3.5350180854071716,100
233,7,20,0.5,0.6,0.5,DBSCAN,50.0,0.0,100
234,7,20,0.5,0.6,0.5,GMM,55.09774726014745,3.814132611392303,100
235,7,20,0.5,0.6,0.5,K-means,55.30653823681626,4.0750126378848,100
236,7,20,0.5,0.6,0.6,Cross-Entropy,56.24779588748349,4.645640470091272,100
237,7,20,0.5,0.6,0.6,DBSCAN,50.0,0.0,100
238,7,20,0.5,0.6,0.6,GMM,55.091043049314024,3.9418056436986095,100
239,7,20,0.5,0.6,0.6,K-means,55.719277740805516,4.311055141205081,100
240,7,20,0.5,0.6,0.7,Cross-Entropy,56.362350418243025,4.7843616872656485,100
241,7,20,0.5,0.6,0.7,DBSCAN,50.0,0.0,100
242,7,20,0.5,0.6,0.7,GMM,55.285233451696705,3.59347282334291,100
243,7,20,0.5,0.6,0.7,K-means,55.92253031162796,4.6273817738340615,100
244,7,20,0.5,0.6,0.8,Cross-Entropy,57.263374174965186,5.199129701594598,100
245,7,20,0.5,0.6,0.8,DBSCAN,50.0,0.0,100
246,7,20,0.5,0.6,0.8,GMM,56.67468931497514,4.598826390061629,100
247,7,20,0.5,0.6,0.8,K-means,57.10340518345544,4.624371134390674,100
248,7,20,0.5,0.6,0.9,Cross-Entropy,56.936073292698374,5.132668269644669,100
249,7,20,0.5,0.6,0.9,DBSCAN,50.0,0.0,100
250,7,20,0.5,0.6,0.9,GMM,56.02255912721449,4.92099865933808,100
251,7,20,0.5,0.6,0.9,K-means,56.56318553486062,5.092929636677233,100
252,8,20,0.5,0.8,0.1,Cross-Entropy,56.994843461995494,5.781027365636827,100
253,8,20,0.5,0.8,0.1,DBSCAN,50.0,0.0,100
254,8,20,0.5,0.8,0.1,GMM,56.23429116877525,4.392272824218329,100
255,8,20,0.5,0.8,0.1,K-means,56.6628002755304,4.66631131836713,100
256,8,20,0.5,0.8,0.2,Cross-Entropy,61.79614458424233,8.373287794446789,100
257,8,20,0.5,0.8,0.2,DBSCAN,50.0,0.0,100
258,8,20,0.5,0.8,0.2,GMM,58.665122025448454,6.2177799572340815,100
259,8,20,0.5,0.8,0.2,K-means,61.39925912001053,8.236628573250478,100
260,8,20,0.5,0.8,0.3,Cross-Entropy,67.55142473687705,9.323654173895092,100
261,8,20,0.5,0.8,0.3,DBSCAN,50.0,0.0,100
262,8,20,0.5,0.8,0.3,GMM,60.76452352610435,7.739014314116772,100
263,8,20,0.5,0.8,0.3,K-means,66.74467434946908,8.318001986948678,100
264,8,20,0.5,0.8,0.4,Cross-Entropy,72.00192785809782,8.837133904880288,100
265,8,20,0.5,0.8,0.4,DBSCAN,50.0,0.0,100
266,8,20,0.5,0.8,0.4,GMM,66.17757488485154,9.261998393578802,100
267,8,20,0.5,0.8,0.4,K-means,71.86383551346884,7.723445248306698,100
268,8,20,0.5,0.8,0.5,Cross-Entropy,78.62546924765937,7.991881442525629,100
269,8,20,0.5,0.8,0.5,DBSCAN,50.0,0.0,100
270,8,20,0.5,0.8,0.5,GMM,69.81633670881506,10.592076358748596,100
271,8,20,0.5,0.8,0.5,K-means,78.58144599128913,6.927361580082787,100
272,8,20,0.5,0.8,0.6,Cross-Entropy,83.04274525906243,5.638690706415596,100
273,8,20,0.5,0.8,0.6,DBSCAN,50.0,0.0,100
274,8,20,0.5,0.8,0.6,GMM,76.11142293036389,10.981534002720913,100
275,8,20,0.5,0.8,0.6,K-means,81.98815415924425,6.502202034152326,100
276,8,20,0.5,0.8,0.7,Cross-Entropy,85.53033997177252,4.309632296116529,100
277,8,20,0.5,0.8,0.7,DBSCAN,50.0,0.0,100
278,8,20,0.5,0.8,0.7,GMM,80.72681971067634,8.795070040377967,100
