dimension,coefficient,samples_per_class,noise,method,mean,std,count
10,10,100,0.5,CEC,55.81840150896328,4.255557865504359,100
10,10,100,0.5,Differential Entropy,,,0
10,10,100,0.5,Gaussian Mixture,55.87557625292876,4.667097716436929,100
10,10,100,0.5,Reg. EM,57.33592038101788,4.715889121423587,100
10,10,100,0.5,Self-Information,63.72643086058276,3.0044963122911605,100
10,10,100,0.7,$L_2$ Norm,57.541041913285454,3.5173049641036527,100
10,10,100,0.7,CEC,55.155552195719316,3.914282970164431,100
10,10,100,0.7,Differential Entropy,,,0
10,10,100,0.7,Gaussian Mixture,54.33862304925602,3.3702143865026293,100
10,10,100,0.7,Reg. EM,55.02128125237768,3.7151324484275716,100
10,10,100,0.7,Self-Information,58.07112913838295,3.3714313808596286,100
10,10,100,0.9,$L_2$ Norm,53.65854916583407,2.735879551827966,100
10,10,100,0.9,CEC,53.52785423493979,2.626901381006678,100
10,10,100,0.9,Differential Entropy,,,0
10,10,100,0.9,Gaussian Mixture,53.23412805279738,2.3154939714621245,100
10,10,100,0.9,Reg. EM,53.59688416810919,2.628145324663779,100
10,10,100,0.9,Self-Information,54.035250246109015,2.782198389316888,100
10,20,200,0.0,$L_2$ Norm,70.61314168746432,6.117214753722916,100
10,20,200,0.0,CEC,82.58390332426787,8.147056385185037,100
10,20,200,0.0,Differential Entropy,,,0
10,20,200,0.0,Gaussian Mixture,80.74857651965179,6.990671312131473,100
10,20,200,0.0,Reg. EM,75.35260240088422,11.04913870185495,100
10,20,200,0.0,Self-Information,73.37089967267615,1.6970144162167067,100
10,20,200,0.1,$L_2$ Norm,69.13052685447627,5.615774124371191,100
10,20,200,0.1,CEC,80.76420974329329,6.661232482131564,100
10,20,200,0.1,Differential Entropy,,,0
10,20,200,0.1,Gaussian Mixture,72.70322191838382,11.323834545045361,100
10,20,200,0.1,Reg. EM,73.45138607386649,9.742280141546022,100
10,20,200,0.1,Self-Information,71.91478001744981,2.0695564205995782,100
10,20,200,0.2,$L_2$ Norm,67.5687521394358,5.1100635974917,100
10,20,200,0.2,CEC,74.4708993131824,10.486150117180767,100
10,20,200,0.2,Differential Entropy,,,0
10,20,200,0.2,Gaussian Mixture,67.61978483083344,11.889850638989133,100
10,20,200,0.2,Reg. EM,71.35462651409969,8.866204604514278,100
10,20,200,0.2,Self-Information,70.11807186136292,1.9011398082886408,100
10,20,200,0.5,$L_2$ Norm,62.20880688080086,2.809537283726214,100
10,20,200,0.5,CEC,60.74397024881572,8.118934417865763,100
10,20,200,0.5,Differential Entropy,,,0
10,20,200,0.5,Gaussian Mixture,56.145023219939134,5.704884248560193,100
10,20,200,0.5,Reg. EM,60.231931511968604,6.500568789317852,100
10,20,200,0.5,Self-Information,63.792481726491445,2.1612884730587183,100
10,20,200,0.7,$L_2$ Norm,57.2858993689684,2.613278428432279,100
10,20,200,0.7,CEC,56.19085244012002,4.501600197872829,100
10,20,200,0.7,Differential Entropy,,,0
10,20,200,0.7,Gaussian Mixture,53.809520261938886,3.7826830436006906,100
10,20,200,0.7,Reg. EM,55.4562228557822,4.136612656309956,100
10,20,200,0.7,Self-Information,58.37351413781714,2.405246984072178,100
10,20,200,0.9,$L_2$ Norm,52.45902908844316,1.6321830604436909,100
10,20,200,0.9,CEC,52.82209672858707,1.9328113490362546,100
10,20,200,0.9,Differential Entropy,,,0
10,20,200,0.9,Gaussian Mixture,52.6145446435081,1.7412329808266027,100
10,20,200,0.9,Reg. EM,52.77822269521917,2.251447771791002,100
10,20,200,0.9,Self-Information,52.69156851378135,1.8807173011533187,100
50,2,100,0.0,$L_2$ Norm,84.85034379101394,8.526646938400841,100
50,2,100,0.0,CEC,55.183495688291444,3.020793422574768,100
50,2,100,0.0,Differential Entropy,,,0
50,2,100,0.0,Gaussian Mixture,56.777561645518055,4.2417020275778645,100
50,2,100,0.0,Reg. EM,54.87518792434842,3.0004672823133105,100
50,2,100,0.0,Self-Information,96.51414511824565,3.8431837785930765,100
50,2,100,0.1,$L_2$ Norm,81.60526685529064,7.642232835185172,100
50,2,100,0.1,CEC,54.74426825944137,2.873353951472224,100
50,2,100,0.1,Differential Entropy,,,0
50,2,100,0.1,Gaussian Mixture,54.9787927115633,3.9487340550705494,100
50,2,100,0.1,Reg. EM,54.79050807617777,2.918955245364723,100
50,2,100,0.1,Self-Information,96.17917976933039,1.3834532192175768,100
50,2,100,0.2,$L_2$ Norm,81.1489523229145,8.70340351176858,100
50,2,100,0.2,CEC,54.033712186337745,2.738664000028696,100
