Book,Chapter,Verse,P,Pg,Ps
Exodus,22,2,0,0,0

Exodus,22,3,0,0,0

Exodus,22,4,0,0,0

Exodus,22,5,0,0,0

Exodus,22,6,0,0,0

Exodus,22,7,0,0,0

Exodus,22,8,0,0,0

Exodus,22,9,0,0,0

Exodus,22,10,0,0,0

Exodus,22,11,0,0,0

Exodus,22,12,0,0,0

Exodus,22,13,0,0,0

Exodus,22,14,0,0,0

Exodus,22,15,0,0,0

Exodus,22,16,0,0,0

Exodus,22,17,0,0,0

Exodus,22,18,0,0,0

Exodus,22,19,0,0,0

Exodus,22,20,0,0,0

Exodus,22,21,0,0,0

Exodus,22,22,0,0,0

Exodus,22,23,0,0,0

Exodus,22,24,0,0,0

Exodus,22,25,0,0,0

Exodus,22,26,0,0,0

Exodus,22,27,0,0,0

Exodus,22,28,0,0,0

Exodus,22,29,0,0,0

Exodus,22,30,0,0,0

Exodus,23,1,0,0,0

Exodus,23,2,0,0,0

Exodus,23,3,0,0,0

Exodus,23,4,0,0,0

Exodus,23,5,0,0,0

Exodus,23,6,0,0,0

Exodus,23,7,0,0,0

Exodus,23,8,0,0,0

Exodus,23,9,0,0,0

Exodus,23,10,0,0,0

Exodus,23,11,0,0,0

Exodus,23,12,0,0,0

Exodus,23,13,0,0,0

Exodus,23,14,0,0,0

Exodus,23,15,0,0,0

Exodus,23,16,0,0,0

Exodus,23,17,0,0,0

Exodus,23,18,0,0,0

Exodus,23,19,0,0,0

Exodus,23,20,0,0,0

Exodus,23,21,0,0,0

Exodus,23,22,0,0,0

Exodus,23,23,0,0,0

Exodus,23,24,0,0,0

Exodus,23,25,0,0,0

Exodus,23,26,0,0,0

Exodus,23,27,0,0,0

Exodus,23,28,0,0,0

Exodus,23,29,0,0,0

Exodus,23,30,0,0,0

Exodus,23,31,0,0,0

Exodus,23,32,0,0,0

Exodus,23,33,0,0,0

Exodus,24,1,0,0,0

Exodus,24,2,0,0,0

Exodus,24,3,0,0,0

Exodus,24,4,0,0,0

Exodus,24,5,0,0,0

Exodus,24,6,0,0,0

Exodus,24,7,0,0,0

Exodus,24,8,0,0,0

Exodus,24,9,0,0,0

Exodus,24,10,0,0,0

Exodus,24,11,0,0,0

Exodus,24,12,0,0,0

Exodus,24,13,0,0,0

Exodus,24,14,0,0,0

Exodus,24,15,0,0,0

Exodus,24,16,1,1,0

Exodus,24,17,1,1,0

Exodus,24,18,0,0,0

Exodus,25,1,1,0,0

Exodus,25,2,1,0,0

Exodus,25,3,1,0,0

Exodus,25,4,1,0,0

Exodus,25,5,1,0,0

Exodus,25,6,1,0,0

Exodus,25,7,1,0,0

Exodus,25,8,1,0,0

Exodus,25,9,1,0,0

Exodus,25,10,1,0,0

Exodus,25,11,1,0,0

Exodus,25,12,1,0,0

Exodus,25,13,1,0,0

Exodus,25,14,1,0,0

Exodus,25,15,1,0,0

Exodus,25,16,1,0,0

Exodus,25,17,1,0,0

Exodus,25,18,1,0,0

Exodus,25,19,1,0,0

Exodus,25,20,1,0,0

Exodus,25,21,1,0,0

Exodus,25,22,1,0,0

Exodus,25,23,1,0,0

Exodus,25,24,1,0,0

Exodus,25,25,1,1,0

Exodus,25,26,1,1,0

Exodus,25,27,1,1,0

Exodus,25,28,1,1,0

Exodus,25,29,1,1,0

Exodus,25,30,1,0,0

Exodus,25,31,1,0,0

Exodus,25,32,1,0,0

Exodus,25,33,1,0,0

Exodus,25,34,1,0,0

Exodus,25,35,1,0,0

Exodus,25,36,1,0,0

Exodus,25,37,1,0,0

Exodus,25,38,1,0,0

Exodus,25,39,1,0,0

Exodus,25,40,1,0,0

Exodus,26,1,1,0,0

Exodus,26,2,1,0,0

Exodus,26,3,1,0,0

Exodus,26,4,1,0,0

Exodus,26,5,1,0,0

Exodus,26,6,1,0,0

Exodus,26,7,1,0,0

Exodus,26,8,1,0,0

Exodus,26,9,1,0,0

Exodus,26,10,1,0,0

Exodus,26,11,1,0,0

Exodus,26,12,1,0,0

Exodus,26,13,1,0,0

Exodus,26,14,1,0,0

Exodus,26,15,1,0,0

Exodus,26,16,1,0,0

Exodus,26,17,1,0,0

Exodus,26,18,1,0,0

Exodus,26,19,1,0,0

Exodus,26,20,1,0,0

Exodus,26,21,1,0,0

Exodus,26,22,1,0,0

Exodus,26,23,1,0,0

Exodus,26,24,1,0,0

Exodus,26,25,1,0,0

Exodus,26,26,1,0,0

Exodus,26,27,1,0,0

Exodus,26,28,1,0,0

Exodus,26,29,1,0,0

Exodus,26,30,1,0,0

Exodus,26,31,1,0,0

Exodus,26,32,1,0,0

Exodus,26,33,1,0,0

Exodus,26,34,1,0,0

Exodus,26,35,1,0,0

Exodus,26,36,1,0,0

Exodus,26,37,1,0,0

Exodus,27,1,1,0,0

Exodus,27,2,1,0,0

Exodus,27,3,1,0,0

Exodus,27,4,1,0,0

Exodus,27,5,1,0,0

Exodus,27,6,1,0,0

Exodus,27,7,1,0,0

Exodus,27,8,1,0,0

Exodus,27,9,1,0,0

Exodus,27,10,1,0,0

Exodus,27,11,1,0,0

Exodus,27,12,1,0,0

Exodus,27,13,1,0,0

Exodus,27,14,1,0,0

Exodus,27,15,1,0,0

Exodus,27,16,1,0,0

Exodus,27,17,1,0,0

Exodus,27,18,1,0,0

Exodus,27,19,1,0,0

Exodus,27,20,1,0,0

Exodus,27,21,1,0,0

Exodus,28,1,1,0,0

Exodus,28,2,1,0,0

Exodus,28,3,1,0,0

Exodus,28,4,1,0,0

Exodus,28,5,1,0,0

Exodus,28,6,1,0,0

Exodus,28,7,1,0,0

Exodus,28,8,1,0,0

Exodus,28,9,1,0,0

Exodus,28,10,1,0,0

Exodus,28,11,1,0,0

Exodus,28,12,1,0,0

Exodus,28,13,1,0,0

Exodus,28,14,1,0,0

Exodus,28,15,1,0,0

Exodus,28,16,1,0,0

Exodus,28,17,1,0,0

Exodus,28,18,1,0,0

Exodus,28,19,1,0,0

Exodus,28,20,1,0,0

Exodus,28,21,1,0,0

Exodus,28,22,1,0,0

Exodus,28,23,1,0,0

Exodus,28,24,1,0,0

Exodus,28,25,1,0,0

Exodus,28,26,1,0,0

Exodus,28,27,1,0,0

Exodus,28,28,1,0,0

Exodus,28,29,1,0,0

Exodus,28,30,1,0,0

Exodus,28,31,1,0,0

Exodus,28,32,1,0,0

Exodus,28,33,1,0,0

Exodus,28,34,1,0,0

Exodus,28,35,1,0,0

Exodus,28,36,1,0,0

Exodus,28,37,1,0,0

Exodus,28,38,1,0,0

Exodus,28,39,1,0,0

Exodus,28,40,1,0,0

Exodus,28,41,1,0,0

Exodus,28,42,1,0,0

Exodus,28,43,1,0,0

Exodus,29,1,1,0,0

Exodus,29,2,1,0,0

Exodus,29,3,1,0,0

Exodus,29,4,1,0,0

Exodus,29,5,1,0,0

Exodus,29,6,1,0,0

Exodus,29,7,1,0,0

Exodus,29,8,1,0,0

Exodus,29,9,1,0,0

Exodus,29,10,1,0,0

Exodus,29,11,1,0,0

Exodus,29,12,1,0,0

Exodus,29,13,1,0,0

Exodus,29,14,1,0,0

Exodus,29,15,1,0,0

Exodus,29,16,1,0,0

Exodus,29,17,1,0,0

Exodus,29,18,1,0,0

Exodus,29,19,1,0,0

Exodus,29,20,1,0,0

Exodus,29,21,1,0,0

Exodus,29,22,1,0,0

Exodus,29,23,1,0,0

Exodus,29,24,1,0,0

Exodus,29,25,1,0,0

Exodus,29,26,1,0,0

Exodus,29,27,1,0,0

Exodus,29,28,1,0,0

Exodus,29,29,1,0,0

Exodus,29,30,1,0,0

Exodus,29,31,1,0,0

Exodus,29,32,1,0,0

Exodus,29,33,1,0,0

Exodus,29,34,1,0,0

Exodus,29,35,1,0,0

Exodus,29,36,1,0,0

Exodus,29,37,1,0,0

Exodus,29,38,1,0,0

Exodus,29,39,1,0,0

Exodus,29,40,1,0,0

Exodus,29,41,1,0,0

Exodus,29,42,1,0,0

Exodus,29,43,1,0,0

Exodus,29,44,1,0,0

Exodus,29,45,1,0,0

Exodus,29,46,1,0,0

Exodus,30,1,1,0,0

Exodus,30,2,1,0,0

Exodus,30,3,1,0,0

Exodus,30,4,1,0,0

Exodus,30,5,1,0,0

Exodus,30,6,1,0,0

Exodus,30,7,1,0,0

Exodus,30,8,1,0,0

Exodus,30,9,1,0,0

Exodus,30,10,1,0,0

Exodus,30,11,1,0,0

Exodus,30,12,1,0,0

Exodus,30,13,1,0,0

Exodus,30,14,1,0,0

Exodus,30,15,1,0,0

Exodus,30,16,1,0,0

Exodus,30,17,1,0,0

Exodus,30,18,1,0,0

Exodus,30,19,1,0,0

